#,Address,Source,Live Registers,Warp Stall Sampling (All Samples),Instructions Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,flash_fwd_kernel
1,00007ef1 797e3400,"      LDC R1, c[0x0][0x28]",5,103,8192,,,,,,,,,
2,00007ef1 797e3410,"      LDC.64 R2, c[0x0][0x300]",7,14,8192,,,,,,,,,
3,00007ef1 797e3420,"      S2R R27, SR_CTAID.Y",8,0,8192,,,,,,,,,
4,00007ef1 797e3430,"      IMAD.MOV.U32 R18, RZ, RZ, RZ",9,0,8192,,,,,,,,,
5,00007ef1 797e3440,"      ULDC.64 UR16, c[0x0][0x208]",9,42,8192,,,,,,,,,
6,00007ef1 797e3450,"      ULDC UR4, c[0x0][0x2c4]",9,50,8192,,,,,,,,,
7,00007ef1 797e3460,"      VIADD R1, R1, 0xffffff50",9,11,8192,,,,,,,,,
8,00007ef1 797e3470,"      ISETP.NE.U32.AND P0, PT, R2, RZ, PT",9,37,8192,,,,,,,,,
9,00007ef1 797e3480,"      ISETP.NE.AND.EX P0, PT, R3, RZ, PT, P0",8,5,8192,,,,,,,,,
10,00007ef1 797e3490,"      LDC.64 R2, c[0x0][0x308]",9,2,8192,,,,,,,,,
11,00007ef1 797e34a0,"@P0   LDC.64 R4, c[0x0][0x300]",9,11,8192,,,,,,,,,
12,00007ef1 797e34b0,"      ISETP.NE.U32.AND P3, PT, R2, RZ, PT",9,21,8192,,,,,,,,,
13,00007ef1 797e34c0,"      ISETP.NE.AND.EX P3, PT, R3, RZ, PT, P3",9,7,8192,,,,,,,,,
14,00007ef1 797e34d0,"@P0   IMAD.WIDE R2, R27, 0x4, R4",9,6,8192,,,,,,,,,
15,00007ef1 797e34e0,"@P0   LDG.E R18, desc[UR16][R2.64]",7,7,8192,,Load,32,,0,,,,
16,00007ef1 797e34f0,"@P3   LDC.64 R2, c[0x0][0x308]",7,15,8192,,,,,,,,,
17,00007ef1 797e3500,"@P3   IMAD.WIDE R2, R27, 0x4, R2",7,19,8192,,,,,,,,,
18,00007ef1 797e3510,"@P3   LDG.E R19, desc[UR16][R2.64]",7,6,8192,,Load,32,,0,,,,
19,00007ef1 797e3520,"      S2R R9, SR_CTAID.X",6,3,8192,,,,,,,,,
20,00007ef1 797e3530,"      IMAD.SHL.U32 R0, R9, 0x80, RZ",7,23,8192,,,,,,,,,
21,00007ef1 797e3540,"      ISETP.GE.AND P0, PT, R0, UR4, PT",7,12,8192,,,,,,,,,
22,00007ef1 797e3550,@P0   EXIT,6,18,8192,,,,,,,,,
23,00007ef1 797e3560,"      S2R R29, SR_TID.X",7,5,8192,,,,,,,,,
24,00007ef1 797e3570,"      LDC R26, c[0x0][0x278]",8,2,8192,,,,,,,,,
25,00007ef1 797e3580,"      SHF.R.S32.HI R25, RZ, 0x1f, R27",9,1,8192,,,,,,,,,
26,00007ef1 797e3590,"      ULDC.64 UR4, c[0x0][0x228]",9,1,8192,,,,,,,,,
27,00007ef1 797e35a0,"      S2R R28, SR_CTAID.Z",10,1,8192,,,,,,,,,
28,00007ef1 797e35b0,"      ULDC.64 UR8, c[0x0][0x240]",10,22,8192,,,,,,,,,
29,00007ef1 797e35c0,"      ULDC.64 UR6, c[0x0][0x210]",10,2,8192,,,,,,,,,
30,00007ef1 797e35d0,"      IMAD R4, R25, UR4, RZ",11,1,8192,,,,,,,,,
31,00007ef1 797e35e0,"      USHF.L.U64.HI UR15, UR8, 0x5, UR9",11,0,8192,,,,,,,,,
32,00007ef1 797e35f0,"@P3   IMAD.IADD R235, R19, 0x1, -R18",11,4,8192,,,,,,,,,
33,00007ef1 797e3600,"      ULDC.64 UR12, c[0x0][0x248]",10,1,8192,,,,,,,,,
34,00007ef1 797e3610,"      IMAD R4, R27, UR5, R4",10,2,8192,,,,,,,,,
35,00007ef1 797e3620,"      ULDC.64 UR10, c[0x0][0x250]",10,1,8192,,,,,,,,,
36,00007ef1 797e3630,"      USHF.L.U64.HI UR19, UR12, 0x7, UR13",10,0,8192,,,,,,,,,
37,00007ef1 797e3640,"      USHF.L.U32 UR20, UR12, 0x7, URZ",10,6,8192,,,,,,,,,
38,00007ef1 797e3650,"      USHF.L.U32 UR14, UR12, 0x5, URZ",10,3,8192,,,,,,,,,
39,00007ef1 797e3660,"      USHF.L.U32 UR18, UR10, 0x5, URZ",10,2,8192,,,,,,,,,
40,00007ef1 797e3670,"      USHF.L.U64.HI UR21, UR10, 0x5, UR11",10,1,8192,,,,,,,,,
41,00007ef1 797e3680,"      IABS R0, R26",11,4,8192,,,,,,,,,
42,00007ef1 797e3690,"      IMAD.MOV.U32 R22, RZ, RZ, R0",12,8,8192,,,,,,,,,
43,00007ef1 797e36a0,"      SHF.R.S32.HI R24, RZ, 0x1f, R29",12,0,8192,,,,,,,,,
