#,Address,Source,Live Registers,Warp Stall Sampling (All Samples),Instructions Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,flash_v2_kernel
1,00007ee3 7145fd00,"      LDC R1, c[0x0][0x28]",5,62,16384,,,,,,,,,
2,00007ee3 7145fd10,"      S2R R0, SR_TID.X",6,1,16384,,,,,,,,,
3,00007ee3 7145fd20,"      S2UR UR4, SR_CgaCtaId",6,19,16384,,,,,,,,,
4,00007ee3 7145fd30,"      ELECT P0, URZ, PT",6,3,16384,,,,,,,,,
5,00007ee3 7145fd40,"      UMOV UR25, 0x400",6,0,16384,,,,,,,,,
6,00007ee3 7145fd50,"      UMOV UR5, 0x1",6,4,16384,,,,,,,,,
7,00007ee3 7145fd60,"      ULDC UR13, c[0x0][0x518]",6,72,16384,,,,,,,,,
8,00007ee3 7145fd70,"      LDC.64 R2, c[0x0][0x198]",8,13,16384,,,,,,,,,
9,00007ee3 7145fd80,"      S2UR UR12, SR_CTAID.X",8,17,16384,,,,,,,,,
10,00007ee3 7145fd90,"      ULEA UR25, UR4, UR25, 0x18",8,63,16384,,,,,,,,,
11,00007ee3 7145fda0,"      S2UR UR11, SR_CTAID.Y",8,13,16384,,,,,,,,,
12,00007ee3 7145fdb0,"      UIADD3 UR24, UR25, 0x18000, URZ",8,1,16384,,,,,,,,,
13,00007ee3 7145fdc0,"      LOP3.LUT P4, R152, R0, 0xff, RZ, 0xc0, !PT",9,3,16384,,,,,,,,,
14,00007ee3 7145fdd0,"      ISETP.LT.U32.AND P0, PT, R152, 0x20, P0",9,9,16384,,,,,,,,,
15,00007ee3 7145fde0,"      USHF.L.U32 UR12, UR12, 0x7, URZ",9,39,16384,,,,,,,,,
16,00007ee3 7145fdf0,"      VOTEU.ALL UP0, P4",9,17,16384,,,,,,,,,
17,00007ee3 7145fe00,"      VOTEU.ALL UP2, P4",9,3,16384,,,,,,,,,
18,00007ee3 7145fe10,"@P0   IADD3 R4, P1, R2, 0x30, RZ",9,42,16384,,,,,,,,,
19,00007ee3 7145fe20,"      UIMAD UR11, UR11, UR13, URZ",9,13,16384,,,,,,,,,
20,00007ee3 7145fe30,"@!UP0 UIADD3 UR4, -UR5, 0x100000, URZ",9,6,16384,,,,,,,,,
21,00007ee3 7145fe40,"@!UP0 USHF.L.U32 UR5, UR4, 0xb, URZ",9,8,16384,,,,,,,,,
22,00007ee3 7145fe50,"@!UP0 USHF.L.U32 UR4, UR4, 0x1, URZ",9,6,16384,,,,,,,,,
23,00007ee3 7145fe60,"      VOTEU.ANY UP1, P0",9,2,16384,,,,,,,,,
24,00007ee3 7145fe70,"@P0   R2UR UR6, R4",9,3,16384,,,,,,,,,
25,00007ee3 7145fe80,"      UIADD3 UR27, UR11, UR12, URZ",8,2,16384,,,,,,,,,
26,00007ee3 7145fe90,"@P0   IADD3.X R5, RZ, R3, RZ, P1, !PT",8,0,16384,,,,,,,,,
27,00007ee3 7145fea0,"      VOTEU.ANY UP3, P0",8,1,16384,,,,,,,,,
28,00007ee3 7145feb0,"@UP1  UMOV UR26, URZ",8,1,16384,,,,,,,,,
29,00007ee3 7145fec0,"@P0   R2UR UR7, R5",8,1,16384,,,,,,,,,
30,00007ee3 7145fed0,"@!UP2 SYNCS.EXCH.64 URZ, [UR25], UR4",7,12,16384,,,,,,,,,
31,00007ee3 7145fee0,"      IMAD.U32 R4, RZ, RZ, UR6",8,8,16384,,,,,,,,,
32,00007ee3 7145fef0,"@P0   R2UR UR6, R4",8,15,16384,,,,,,,,,
33,00007ee3 7145ff00,"@!P4  IMAD.MOV.U32 R4, RZ, RZ, 0x4000",8,1,16384,,,,,,,,,
34,00007ee3 7145ff10,      BAR.SYNC.DEFER_BLOCKING 0x0,8,34,16384,,,,,,,,,
35,00007ee3 7145ff20,"      MOV R5, UR7",9,2,16384,,,,,,,,,
36,00007ee3 7145ff30,"@P0   R2UR UR7, R5",9,8,16384,,,,,,,,,
37,00007ee3 7145ff40,"@!P4  SYNCS.ARRIVE.TRANS64 RZ, [UR25], R4",9,39,16384,,,,,,,,,
38,00007ee3 7145ff50,      BAR.SYNC.DEFER_BLOCKING 0x0,9,6,16384,,,,,,,,,
39,00007ee3 7145ff60,"@UP3  UTMALDG.2D [UR24], [UR6]",9,49,16384,"Global, Shared",,,,,,,,
40,00007ee3 7145ff70,      BAR.SYNC.DEFER_BLOCKING 0x0,9,2,16384,,,,,,,,,
41,00007ee3 7145ff80,"      SYNCS.PHASECHK.TRANS64.TRYWAIT P0, [UR25], RZ",9,64,16384,,,,,,,,,
42,00007ee3 7145ff90,@!P0  BRA 0x7ee371463980,9,1581,16384,,,,,,,,,
43,00007ee3 7145ffa0,"      ELECT P0, URZ, PT",9,20,16384,,,,,,,,,
44,00007ee3 7145ffb0,"      MOV R8, UR13",10,4,16384,,,,,,,,,
45,00007ee3 7145ffc0,"      ELECT P1, URZ, PT",10,8,16384,,,,,,,,,
46,00007ee3 7145ffd0,      BAR.SYNC.DEFER_BLOCKING 0x0,10,5,16384,,,,,,,,,
47,00007ee3 7145ffe0,"      ISETP.LT.AND P0, PT, RZ, UR13, P0",10,3,16384,,,,,,,,,
48,00007ee3 7145fff0,"      ELECT P3, URZ, PT",10,4,16384,,,,,,,,,
49,00007ee3 71460000,"      ISETP.LT.AND P1, PT, RZ, UR13, P1",10,4,16384,,,,,,,,,
50,00007ee3 71460010,"      ELECT P2, URZ, PT",10,14,16384,,,,,,,,,
51,00007ee3 71460020,"      ISETP.LT.U32.AND P0, PT, R152, 0x20, P0",10,2,16384,,,,,,,,,
52,00007ee3 71460030,"      VOTEU.ALL UP3, P4",10,24,16384,,,,,,,,,
53,00007ee3 71460040,"      ISETP.LT.U32.AND P1, PT, R152, 0x20, P1",10,2,16384,,,,,,,,,
54,00007ee3 71460050,"      VOTEU.ALL UP5, P4",10,2,16384,,,,,,,,,
55,00007ee3 71460060,"      ISETP.GT.AND P3, PT, R8, 0x80, P3",10,1,16384,,,,,,,,,
56,00007ee3 71460070,"      VOTEU.ALL UP6, P4",10,4,16384,,,,,,,,,
57,00007ee3 71460080,"      ISETP.GT.AND P2, PT, R8, 0x80, P2",10,2,16384,,,,,,,,,
58,00007ee3 71460090,"      VOTEU.ALL UP1, P4",10,2,16384,,,,,,,,,
59,00007ee3 714600a0,"      ISETP.LT.U32.AND P3, PT, R152, 0x20, P3",10,0,16384,,,,,,,,,
60,00007ee3 714600b0,"      VOTEU.ALL UP2, P4",10,1,16384,,,,,,,,,
61,00007ee3 714600c0,"      ISETP.LT.U32.AND P2, PT, R152, 0x20, P2",10,0,16384,,,,,,,,,
62,00007ee3 714600d0,"      UMOV UR19, UR11",10,4,16384,,,,,,,,,
63,00007ee3 714600e0,"      IMAD.MOV.U32 R11, RZ, RZ, -0x800000",11,2,16384,,,,,,,,,
64,00007ee3 714600f0,"@P0   IADD3 R4, P5, R2, 0xf0, RZ",11,3,16384,,,,,,,,,
65,00007ee3 71460100,"      VOTEU.ANY UP4, P0",11,0,16384,,,,,,,,,
66,00007ee3 71460110,"@P1   IADD3 R6, P6, R2, 0x1b0, RZ",11,3,16384,,,,,,,,,
67,00007ee3 71460120,"      CS2R R88, SRZ",13,34,16384,,,,,,,,,
68,00007ee3 71460130,"@P0   R2UR UR4, R4",13,4,16384,,,,,,,,,
69,00007ee3 71460140,"@P0   IMAD.X R5, RZ, RZ, R3, P5",13,0,16384,,,,,,,,,
70,00007ee3 71460150,"@P1   IADD3.X R4, RZ, R3, RZ, P6, !PT",13,2,16384,,,,,,,,,
71,00007ee3 71460160,@!P4  SYNCS.CCTL.IV [UR25],13,0,16384,,,,,,,,,
72,00007ee3 71460170,"@P3   IADD3 R7, P6, R2, 0x1b0, RZ",13,2,16384,,,,,,,,,
73,00007ee3 71460180,"      CS2R R90, SRZ",15,6,16384,,,,,,,,,
74,00007ee3 71460190,"@P1   R2UR UR6, R6",15,4,16384,,,,,,,,,
75,00007ee3 714601a0,"      CS2R R92, SRZ",17,25,16384,,,,,,,,,
76,00007ee3 714601b0,"@P3   IADD3.X R6, RZ, R3, RZ, P6, !PT",17,4,16384,,,,,,,,,
77,00007ee3 714601c0,"      CS2R R94, SRZ",19,3,16384,,,,,,,,,
78,00007ee3 714601d0,"@P1   R2UR UR7, R4",19,7,16384,,,,,,,,,
79,00007ee3 714601e0,"      CS2R R96, SRZ",20,3,16384,,,,,,,,,
80,00007ee3 714601f0,"@P3   R2UR UR16, R6",20,5,16384,,,,,,,,,
81,00007ee3 71460200,"      IMAD.U32 R4, RZ, RZ, UR4",20,2,16384,,,,,,,,,
82,00007ee3 71460210,"      UMOV UR4, 0x1",20,2,16384,,,,,,,,,
83,00007ee3 71460220,"@P0   R2UR UR5, R5",20,3,16384,,,,,,,,,
84,00007ee3 71460230,"      CS2R R98, SRZ",22,35,16384,,,,,,,,,
85,00007ee3 71460240,"@!UP0 UIADD3 UR28, -UR4, 0x100000, URZ",22,3,16384,,,,,,,,,
86,00007ee3 71460250,"@!UP0 USHF.L.U32 UR29, UR28, 0xb, URZ",22,12,16384,,,,,,,,,
87,00007ee3 71460260,"@!UP0 USHF.L.U32 UR28, UR28, 0x1, URZ",22,3,16384,,,,,,,,,
88,00007ee3 71460270,"      CS2R R100, SRZ",24,5,16384,,,,,,,,,
89,00007ee3 71460280,"@P2   IADD3 R5, P5, R2, 0xf0, RZ",24,3,16384,,,,,,,,,
90,00007ee3 71460290,"      CS2R R102, SRZ",26,14,16384,,,,,,,,,
91,00007ee3 714602a0,"@!UP0 UIADD3 UR30, -UR4, 0x100000, URZ",26,1,16384,,,,,,,,,
92,00007ee3 714602b0,"@!UP0 USHF.L.U32 UR31, UR30, 0xb, URZ",26,6,16384,,,,,,,,,
93,00007ee3 714602c0,"@!UP0 USHF.L.U32 UR30, UR30, 0x1, URZ",26,6,16384,,,,,,,,,
94,00007ee3 714602d0,"      CS2R R104, SRZ",28,0,16384,,,,,,,,,
95,00007ee3 714602e0,"@P2   R2UR UR8, R5",28,3,16384,,,,,,,,,
96,00007ee3 714602f0,"@P2   IMAD.X R5, RZ, RZ, R3, P5",28,1,16384,,,,,,,,,
97,00007ee3 71460300,"      MOV R9, UR16",29,1,16384,,,,,,,,,
98,00007ee3 71460310,"      CS2R R106, SRZ",31,11,16384,,,,,,,,,
99,00007ee3 71460320,"@!UP0 UIADD3 UR16, -UR4, 0x100000, URZ",31,0,16384,,,,,,,,,
100,00007ee3 71460330,"@!UP0 USHF.L.U32 UR17, UR16, 0xb, URZ",31,11,16384,,,,,,,,,
101,00007ee3 71460340,"@!UP0 USHF.L.U32 UR16, UR16, 0x1, URZ",31,4,16384,,,,,,,,,
102,00007ee3 71460350,"      CS2R R108, SRZ",33,1,16384,,,,,,,,,
103,00007ee3 71460360,"@!UP0 UIADD3 UR32, -UR4, 0x100000, URZ",33,3,16384,,,,,,,,,
104,00007ee3 71460370,"@!UP0 USHF.L.U32 UR33, UR32, 0xb, URZ",33,11,16384,,,,,,,,,
105,00007ee3 71460380,"@!UP0 USHF.L.U32 UR32, UR32, 0x1, URZ",33,6,16384,,,,,,,,,
106,00007ee3 71460390,"      CS2R R110, SRZ",35,2,16384,,,,,,,,,
107,00007ee3 714603a0,"@P2   R2UR UR9, R5",35,2,16384,,,,,,,,,
108,00007ee3 714603b0,"      CS2R R112, SRZ",36,18,16384,,,,,,,,,
109,00007ee3 714603c0,"      MOV R5, UR5",37,5,16384,,,,,,,,,
110,00007ee3 714603d0,"      CS2R R114, SRZ",39,5,16384,,,,,,,,,
111,00007ee3 714603e0,"@!UP0 UIADD3 UR34, -UR4, 0x100000, URZ",39,3,16384,,,,,,,,,
112,00007ee3 714603f0,"@!UP0 USHF.L.U32 UR35, UR34, 0xb, URZ",39,11,16384,,,,,,,,,
113,00007ee3 71460400,"@!UP0 USHF.L.U32 UR34, UR34, 0x1, URZ",39,9,16384,,,,,,,,,
114,00007ee3 71460410,"      IMAD.U32 R6, RZ, RZ, UR8",40,2,16384,,,,,,,,,
115,00007ee3 71460420,"@!UP0 UIADD3 UR4, -UR4, 0x100000, URZ",40,5,16384,,,,,,,,,
116,00007ee3 71460430,"@!UP0 USHF.L.U32 UR5, UR4, 0xb, URZ",40,18,16384,,,,,,,,,
117,00007ee3 71460440,"@!UP0 USHF.L.U32 UR4, UR4, 0x1, URZ",40,5,16384,,,,,,,,,
118,00007ee3 71460450,"      VOTEU.ALL UP0, P4",40,2,16384,,,,,,,,,
119,00007ee3 71460460,      FENCE.VIEW.ASYNC.S,40,1,16384,,,,,,,,,
120,00007ee3 71460470,"@!UP3 SYNCS.EXCH.64 URZ, [UR25+0x1c000], UR16",40,48,16384,,,,,,,,,
121,00007ee3 71460480,      BAR.SYNC.DEFER_BLOCKING 0x0,40,57,16384,,,,,,,,,
122,00007ee3 71460490,"      ISETP.LT.AND P5, PT, RZ, UR13, !P4",40,3,16384,,,,,,,,,
123,00007ee3 714604a0,"      CS2R R116, SRZ",42,7,16384,,,,,,,,,
124,00007ee3 714604b0,"@P0   R2UR UR14, R4",42,3,16384,,,,,,,,,
125,00007ee3 714604c0,"      IMAD.U32 R4, RZ, RZ, UR6",42,2,16384,,,,,,,,,
126,00007ee3 714604d0,"@P3   R2UR UR10, R7",42,5,16384,,,,,,,,,
127,00007ee3 714604e0,"      VOTEU.ANY UP3, P0",41,44,16384,,,,,,,,,
128,00007ee3 714604f0,"@P0   R2UR UR15, R5",41,2,16384,,,,,,,,,
129,00007ee3 71460500,"      UMOV UR8, UR25",40,1,16384,,,,,,,,,
130,00007ee3 71460510,"@P1   R2UR UR20, R4",40,0,16384,,,,,,,,,
131,00007ee3 71460520,"      CS2R R118, SRZ",42,20,16384,,,,,,,,,
132,00007ee3 71460530,"      MOV R7, UR9",43,10,16384,,,,,,,,,
133,00007ee3 71460540,"@UP3  UIADD3 UR9, UR25, 0x1c000, URZ",43,3,16384,,,,,,,,,
134,00007ee3 71460550,"      ISETP.GT.AND P6, PT, R8, 0x80, !P4",43,1,16384,,,,,,,,,
135,00007ee3 71460560,"@P5   IMAD.MOV.U32 R4, RZ, RZ, 0x4000",42,4,16384,,,,,,,,,
136,00007ee3 71460570,"      MOV R5, UR7",43,3,16384,,,,,,,,,
